MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
JAPURA,339,245,2020,1
JURUA,500,342,2020,1
JUTAI,634,484,2020,1
LABREA,2323,1349,2020,1
MANACAPURU,17450,8672,2020,1
MANAQUIRI,729,411,2020,1
MANAUS,756224,183371,2020,1
MANICORE,2260,1140,2020,1
MARAA,554,372,2020,1
MAUES,5176,2770,2020,1
NHAMUNDA,566,329,2020,1
NOVA OLINDA DO NORTE,1183,631,2020,1
NOVO AIRAO,1399,694,2020,1
NOVO ARIPUANA,886,585,2020,1
PARINTINS,18924,9554,2020,1
PAUINI,225,142,2020,1
PRESIDENTE FIGUEIREDO,7092,2630,2020,1
RIO PRETO DA EVA,4586,2217,2020,1
SANTA ISABEL DO RIO NEGRO,409,219,2020,1
SANTO ANTONIO DO ICA,880,628,2020,1
SAO GABRIEL DA CACHOEIRA,3958,1174,2020,1
SAO PAULO DE OLIVENCA,1205,894,2020,1
SAO SEBASTIAO DO UATUMA,295,208,2020,1
SILVES,386,217,2020,1
TABATINGA,9575,4767,2020,1
TAPAUA,571,333,2020,1
TEFE,12172,7038,2020,1
TONANTINS,502,356,2020,1
UARINI,560,440,2020,1
URUCARA,787,462,2020,1
URUCURITUBA,605,396,2020,1
AMAPA,661,286,2020,1
CALCOENE,776,449,2020,1
CUTIAS,170,82,2020,1
FERREIRA GOMES,579,196,2020,1
ITAUBAL,162,90,2020,1
LARANJAL DO JARI,5424,2646,2020,1
MACAPA,161144,50255,2020,1
MAZAGAO,1094,384,2020,1
OIAPOQUE,3556,1610,2020,1
PEDRA BRANCA DO AMAPARI,726,239,2020,1
PORTO GRANDE,2338,1002,2020,1
PRACUUBA,135,57,2020,1
SANTANA,28246,9823,2020,1
SERRA DO NAVIO,507,134,2020,1
TARTARUGALZINHO,580,290,2020,1
VITORIA DO JARI,396,176,2020,1
ABAIRA,2129,687,2020,1
ABARE,2612,1517,2020,1
ACAJUTIBA,2770,1225,2020,1
ADUSTINA,1680,1140,2020,1
AGUA FRIA,2261,1102,2020,1
AIQUARA,549,259,2020,1
ALAGOINHAS,58534,16428,2020,1
ALCOBACA,4142,1658,2020,1
ALMADINA,709,212,2020,1
AMARGOSA,11957,4026,2020,1
AMELIA RODRIGUES,6456,1784,2020,1
AMERICA DOURADA,2335,946,2020,1
ANAGE,3072,1052,2020,1
ANDARAI,1672,732,2020,1
ANDORINHA,3286,1369,2020,1
