MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ACRELANDIA,7928,3909,2024,1
ASSIS BRASIL,2280,1427,2024,1
BRASILEIA,13102,5514,2024,1
BUJARI,2940,1337,2024,1
CAPIXABA,2966,1442,2024,1
CRUZEIRO DO SUL,41308,18644,2024,1
EPITACIOLANDIA,8278,2987,2024,1
FEIJO,5154,2850,2024,1
JORDAO,208,111,2024,1
MANCIO LIMA,4494,2504,2024,1
MANOEL URBANO,1618,828,2024,1
MARECHAL THAUMATURGO,495,346,2024,1
PLACIDO DE CASTRO,5832,2703,2024,1
PORTO ACRE,4779,2629,2024,1
PORTO WALTER,491,329,2024,1
RIO BRANCO,215841,84123,2024,1
RODRIGUES ALVES,2178,1279,2024,1
SANTA ROSA DO PURUS,258,169,2024,1
SENA MADUREIRA,11242,5705,2024,1
SENADOR GUIOMARD,8355,3367,2024,1
TARAUACA,6310,3062,2024,1
XAPURI,5431,3350,2024,1
AGUA BRANCA,5550,3027,2024,1
ANADIA,3556,1474,2024,1
ARAPIRACA,137534,54080,2024,1
ATALAIA,8885,2325,2024,1
BARRA DE SANTO ANTONIO,3148,1083,2024,1
BARRA DE SAO MIGUEL,2706,791,2024,1
BATALHA,4812,2235,2024,1
BELEM,1452,831,2024,1
BELO MONTE,1007,594,2024,1
BOCA DA MATA,6724,2723,2024,1
BRANQUINHA,1866,995,2024,1
CACIMBINHAS,2730,1451,2024,1
CAJUEIRO,3638,1608,2024,1
CAMPESTRE,818,183,2024,1
CAMPO ALEGRE,6647,2231,2024,1
CAMPO GRANDE,3060,1940,2024,1
CANAPI,3660,1948,2024,1
CAPELA,2549,997,2024,1
CARNEIROS,1725,957,2024,1
CHA PRETA,1673,996,2024,1
COITE DO NOIA,3585,2175,2024,1
COLONIA LEOPOLDINA,2387,831,2024,1
COQUEIRO SECO,1404,627,2024,1
CORURIPE,17097,6881,2024,1
CRAIBAS,7956,3814,2024,1
DELMIRO GOUVEIA,26454,10008,2024,1
DOIS RIACHOS,3640,2144,2024,1
ESTRELA DE ALAGOAS,4286,2306,2024,1
FEIRA GRANDE,6232,3508,2024,1
FELIZ DESERTO,819,323,2024,1
FLEXEIRAS,1956,721,2024,1
GIRAU DO PONCIANO,11676,6305,2024,1
IBATEGUARA,2921,1394,2024,1
IGACI,7090,3683,2024,1
IGREJA NOVA,5847,3645,2024,1
INHAPI,5241,3183,2024,1
JACARE DOS HOMENS,1204,613,2024,1
JACUIPE,870,385,2024,1
JAPARATINGA,2071,777,2024,1
JARAMATAIA,1118,484,2024,1
JEQUIA DA PRAIA,1707,777,2024,1
JOAQUIM GOMES,3392,1426,2024,1
JUNDIA,825,330,2024,1
JUNQUEIRO,7311,3157,2024,1
LAGOA DA CANOA,6390,3485,2024,1
LIMOEIRO DE ANADIA,6987,3406,2024,1
MACEIO,409785,98014,2024,1
MAJOR ISIDORO,4418,2315,2024,1
MAR VERMELHO,1135,695,2024,1
MARAGOGI,5976,1786,2024,1
MARAVILHA,2771,1565,2024,1
MARECHAL DEODORO,17174,4147,2024,1
MARIBONDO,3526,1409,2024,1
MATA GRANDE,5184,2998,2024,1
MATRIZ DE CAMARAGIBE,5207,1831,2024,1
MESSIAS,3397,1265,2024,1
MINADOR DO NEGRAO,1696,921,2024,1
MONTEIROPOLIS,1515,883,2024,1
MURICI,5949,2774,2024,1
NOVO LINO,2120,590,2024,1
OLHO D'AGUA DAS FLORES,7254,3431,2024,1
OLHO D'AGUA DO CASADO,2130,1097,2024,1
OLHO D'AGUA GRANDE,1267,804,2024,1
OLIVENCA,2979,1766,2024,1
OURO BRANCO,3565,1776,2024,1
PALESTINA,737,336,2024,1
PALMEIRA DOS INDIOS,30101,13222,2024,1
PAO DE ACUCAR,4178,2057,2024,1
PARICONHA,2771,1677,2024,1
PARIPUEIRA,3356,1005,2024,1
PASSO DE CAMARAGIBE,2561,998,2024,1
PAULO JACINTO,1602,961,2024,1
PENEDO,22007,9020,2024,1
PIACABUCU,2803,1033,2024,1
PILAR,10046,2866,2024,1
PINDOBA,529,327,2024,1
PIRANHAS,6940,3865,2024,1
POCO DAS TRINCHEIRAS,3388,1971,2024,1
PORTO CALVO,7001,2858,2024,1
PORTO DE PEDRAS,1976,834,2024,1
PORTO REAL DO COLEGIO,3189,1670,2024,1
QUEBRANGULO,2604,1467,2024,1
RIO LARGO,22839,6923,2024,1
ROTEIRO,1306,498,2024,1
SANTA LUZIA DO NORTE,1566,518,2024,1
SANTANA DO IPANEMA,21273,11428,2024,1
SANTANA DO MUNDAU,3263,2056,2024,1
SAO BRAS,663,353,2024,1
SAO JOSE DA LAJE,5020,2156,2024,1
SAO JOSE DA TAPERA,6960,3324,2024,1
SAO LUIS DO QUITUNDE,6522,2303,2024,1
SAO MIGUEL DOS CAMPOS,19233,7615,2024,1
SAO MIGUEL DOS MILAGRES,2533,887,2024,1
SAO SEBASTIAO,10146,4943,2024,1
SATUBA,6235,1831,2024,1
SENADOR RUI PALMEIRA,2610,1492,2024,1
TANQUE D'ARCA,1731,980,2024,1
TAQUARANA,6316,3584,2024,1
TEOTONIO VILELA,11131,4682,2024,1
TRAIPU,4471,2825,2024,1
UNIAO DOS PALMARES,22367,11255,2024,1
VICOSA,7294,3942,2024,1
ALVARAES,946,606,2024,1
AMATURA,393,233,2024,1
ANAMA,267,180,2024,1
ANORI,749,494,2024,1
APUI,5567,2792,2024,1
ATALAIA DO NORTE,688,370,2024,1
AUTAZES,2967,1630,2024,1
BARCELOS,1400,794,2024,1
BARREIRINHA,938,592,2024,1
BENJAMIN CONSTANT,2401,1193,2024,1
BERURI,634,399,2024,1
BOA VISTA DO RAMOS,725,518,2024,1
BOCA DO ACRE,4556,2518,2024,1
BORBA,1172,690,2024,1
CAAPIRANGA,382,189,2024,1
CANUTAMA,390,231,2024,1
CARAUARI,3316,2113,2024,1
CAREIRO,3575,1653,2024,1
CAREIRO DA VARZEA,605,181,2024,1
COARI,13326,8257,2024,1
CODAJAS,937,631,2024,1
EIRUNEPE,2608,1703,2024,1
ENVIRA,615,417,2024,1
FONTE BOA,2043,1560,2024,1
GUAJARA,613,208,2024,1
HUMAITA,12230,5512,2024,1
IPIXUNA,55,14,2024,1
IRANDUBA,10422,4756,2024,1
ITACOATIARA,29198,13127,2024,1
ITAMARATI,383,284,2024,1
ITAPIRANGA,1240,574,2024,1
JAPURA,517,379,2024,1
JURUA,678,476,2024,1
JUTAI,1103,873,2024,1
LABREA,3571,2052,2024,1
MANACAPURU,22827,10885,2024,1
MANAQUIRI,1116,634,2024,1
MANAUS,902033,257084,2024,1
MANICORE,3663,1741,2024,1
MARAA,758,527,2024,1
MAUES,6682,3559,2024,1
NHAMUNDA,854,473,2024,1
NOVA OLINDA DO NORTE,1544,802,2024,1
NOVO AIRAO,1949,935,2024,1
NOVO ARIPUANA,1171,774,2024,1
PARINTINS,24888,12562,2024,1
PAUINI,401,269,2024,1
PRESIDENTE FIGUEIREDO,8955,3353,2024,1
RIO PRETO DA EVA,6167,2990,2024,1
SANTA ISABEL DO RIO NEGRO,544,288,2024,1
SANTO ANTONIO DO ICA,1111,791,2024,1
SAO GABRIEL DA CACHOEIRA,5071,1789,2024,1
SAO PAULO DE OLIVENCA,1595,1156,2024,1
SAO SEBASTIAO DO UATUMA,419,282,2024,1
SILVES,712,321,2024,1
TABATINGA,11923,5733,2024,1
TAPAUA,742,437,2024,1
TEFE,15134,8671,2024,1
TONANTINS,608,433,2024,1
UARINI,753,583,2024,1
URUCARA,1016,599,2024,1
URUCURITUBA,849,525,2024,1
AMAPA,790,323,2024,1
CALCOENE,1040,544,2024,1
CUTIAS,206,92,2024,1
FERREIRA GOMES,721,234,2024,1
ITAUBAL,228,116,2024,1
LARANJAL DO JARI,6468,3145,2024,1
MACAPA,187540,57360,2024,1
MAZAGAO,1522,477,2024,1
OIAPOQUE,4722,2100,2024,1
PEDRA BRANCA DO AMAPARI,966,336,2024,1
PORTO GRANDE,2884,1190,2024,1
PRACUUBA,191,73,2024,1
SANTANA,34216,11372,2024,1
SERRA DO NAVIO,585,179,2024,1
TARTARUGALZINHO,803,352,2024,1
VITORIA DO JARI,531,245,2024,1
ABAIRA,2578,794,2024,1
ABARE,2986,1659,2024,1
ACAJUTIBA,3242,1439,2024,1
ADUSTINA,2449,1737,2024,1
AGUA FRIA,2692,1251,2024,1
AIQUARA,669,293,2024,1
ALAGOINHAS,66828,19057,2024,1
ALCOBACA,5166,1875,2024,1
ALMADINA,877,271,2024,1
AMARGOSA,14434,4983,2024,1
AMELIA RODRIGUES,7827,2118,2024,1
AMERICA DOURADA,2999,1188,2024,1
ANAGE,3909,1315,2024,1
ANDARAI,2197,955,2024,1
ANDORINHA,4030,1608,2024,1
ANGICAL,2867,1175,2024,1
ANGUERA,1884,694,2024,1
ANTAS,3117,1714,2024,1
ANTONIO CARDOSO,1873,959,2024,1
ANTONIO GONCALVES,2151,960,2024,1
APORA,3526,1775,2024,1
APUAREMA,1499,754,2024,1
ARACAS,2614,801,2024,1
ARACATU,3643,1272,2024,1
ARACI,11096,3698,2024,1
ARAMARI,1751,717,2024,1
ARATACA,1362,561,2024,1
ARATUIPE,1720,858,2024,1
AURELINO LEAL,1841,639,2024,1
BAIANOPOLIS,3107,1174,2024,1
BAIXA GRANDE,4260,1673,2024,1
BANZAE,2265,1124,2024,1
BARRA,8668,4132,2024,1
BARRA DA ESTIVA,9840,3011,2024,1
BARRA DO CHOCA,7232,2161,2024,1
BARRA DO MENDES,2700,686,2024,1
BARRA DO ROCHA,919,332,2024,1
BARREIRAS,99690,28129,2024,1
BARRO ALTO,2696,928,2024,1
BARRO PRETO,821,257,2024,1
BARROCAS,5700,2309,2024,1
BELMONTE,3295,1263,2024,1
BELO CAMPO,3722,904,2024,1
BIRITINGA,3061,1348,2024,1
BOA NOVA,1817,446,2024,1
BOA VISTA DO TUPIM,3194,1384,2024,1
BOM JESUS DA LAPA,26972,13931,2024,1
BOM JESUS DA SERRA,1413,400,2024,1
BONINAL,3933,1175,2024,1
BONITO,2609,502,2024,1
BOQUIRA,5657,2760,2024,1
BOTUPORA,2779,940,2024,1
BREJOES,3008,889,2024,1
BREJOLANDIA,2356,1368,2024,1
BROTAS DE MACAUBAS,2472,680,2024,1
BRUMADO,46168,18112,2024,1
BUERAREMA,4113,1519,2024,1
BURITIRAMA,1984,711,2024,1
CAATIBA,1190,536,2024,1
CABACEIRAS DO PARAGUACU,3085,1373,2024,1
CACHOEIRA,6698,2125,2024,1
CACULE,9333,2963,2024,1
CAEM,2158,966,2024,1
CAETANOS,1724,732,2024,1
CAETITE,21245,5320,2024,1
CAFARNAUM,4064,1611,2024,1
CAIRU,1156,389,2024,1
CALDEIRAO GRANDE,2730,1271,2024,1
CAMACAN,7157,2666,2024,1
CAMACARI,113666,28434,2024,1
CAMAMU,7325,2909,2024,1
CAMPO ALEGRE DE LOURDES,2349,1417,2024,1
CAMPO FORMOSO,21187,8384,2024,1
CANAPOLIS,2297,1380,2024,1
CANARANA,6731,2459,2024,1
CANAVIEIRAS,6938,3113,2024,1
CANDEAL,1221,595,2024,1
CANDEIAS,31214,6544,2024,1
CANDIBA,3677,1054,2024,1
CANDIDO SALES,6788,1680,2024,1
CANSANCAO,9188,3268,2024,1
CANUDOS,3534,1550,2024,1
