MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ASSIS BRASIL,2084,1306,2022,1
BRASILEIA,11347,4950,2022,1
BUJARI,2467,1088,2022,1
CAPIXABA,2519,1211,2022,1
CRUZEIRO DO SUL,36804,16817,2022,1
EPITACIOLANDIA,7434,2715,2022,1
FEIJO,4421,2384,2022,1
JORDAO,149,78,2022,1
MANCIO LIMA,4061,2248,2022,1
MANOEL URBANO,1350,684,2022,1
MARECHAL THAUMATURGO,402,289,2022,1
PLACIDO DE CASTRO,5294,2464,2022,1
PORTO ACRE,4264,2327,2022,1
PORTO WALTER,379,258,2022,1
RIO BRANCO,201381,77748,2022,1
RODRIGUES ALVES,1799,1071,2022,1
SANTA ROSA DO PURUS,211,138,2022,1
SENA MADUREIRA,9750,4903,2022,1
SENADOR GUIOMARD,7518,3055,2022,1
TARAUACA,5420,2600,2022,1
XAPURI,4886,2975,2022,1
AGUA BRANCA,4875,2601,2022,1
ANADIA,3190,1294,2022,1
ARAPIRACA,124797,48827,2022,1
ATALAIA,7727,1872,2022,1
BARRA DE SANTO ANTONIO,2664,911,2022,1
BARRA DE SAO MIGUEL,2284,676,2022,1
BATALHA,4341,2008,2022,1
BELEM,1311,726,2022,1
BELO MONTE,878,495,2022,1
BOCA DA MATA,6044,2376,2022,1
BRANQUINHA,1622,863,2022,1
CACIMBINHAS,2389,1240,2022,1
CAJUEIRO,3250,1418,2022,1
CAMPESTRE,745,168,2022,1
CAMPO ALEGRE,5674,1831,2022,1
CAMPO GRANDE,2744,1743,2022,1
CANAPI,3130,1641,2022,1
CAPELA,2312,902,2022,1
CARNEIROS,1371,750,2022,1
CHA PRETA,1412,834,2022,1
COITE DO NOIA,3181,1888,2022,1
COLONIA LEOPOLDINA,2083,684,2022,1
COQUEIRO SECO,1221,530,2022,1
CORURIPE,15012,5916,2022,1
CRAIBAS,6797,3158,2022,1
DELMIRO GOUVEIA,23425,8931,2022,1
DOIS RIACHOS,3141,1870,2022,1
ESTRELA DE ALAGOAS,3765,1985,2022,1
FEIRA GRANDE,5405,2959,2022,1
FELIZ DESERTO,728,281,2022,1
FLEXEIRAS,1733,618,2022,1
GIRAU DO PONCIANO,10063,5245,2022,1
IBATEGUARA,2555,1182,2022,1
IGACI,6266,3140,2022,1
IGREJA NOVA,5044,3154,2022,1
INHAPI,4726,2783,2022,1
JACARE DOS HOMENS,1057,537,2022,1
JACUIPE,727,305,2022,1
JAPARATINGA,1649,587,2022,1
JARAMATAIA,953,414,2022,1
JEQUIA DA PRAIA,1500,644,2022,1
JOAQUIM GOMES,2949,1175,2022,1
JUNDIA,724,289,2022,1
JUNQUEIRO,6429,2679,2022,1
LAGOA DA CANOA,5593,2956,2022,1
LIMOEIRO DE ANADIA,6054,2817,2022,1
MACEIO,378165,86162,2022,1
MAJOR ISIDORO,3923,2019,2022,1
MAR VERMELHO,1035,630,2022,1
MARAGOGI,4959,1376,2022,1
MARAVILHA,2407,1317,2022,1
MARECHAL DEODORO,14235,3303,2022,1
MARIBONDO,3192,1259,2022,1
MATA GRANDE,4672,2658,2022,1
MATRIZ DE CAMARAGIBE,4463,1532,2022,1
MESSIAS,2918,1079,2022,1
MINADOR DO NEGRAO,1518,808,2022,1
MONTEIROPOLIS,1298,742,2022,1
MURICI,5015,2265,2022,1
NOVO LINO,1875,501,2022,1
OLHO D'AGUA DAS FLORES,6298,2974,2022,1
OLHO D'AGUA DO CASADO,1862,954,2022,1
OLHO D'AGUA GRANDE,1131,682,2022,1
OLIVENCA,2698,1571,2022,1
OURO BRANCO,3133,1538,2022,1
PALESTINA,641,275,2022,1
PALMEIRA DOS INDIOS,27442,11837,2022,1
PAO DE ACUCAR,3578,1733,2022,1
PARICONHA,2476,1464,2022,1
PARIPUEIRA,2688,758,2022,1
PASSO DE CAMARAGIBE,2084,731,2022,1
PAULO JACINTO,1460,871,2022,1
PENEDO,19386,7819,2022,1
PIACABUCU,2469,856,2022,1
PILAR,8572,2374,2022,1
PINDOBA,467,286,2022,1
PIRANHAS,6026,3270,2022,1
POCO DAS TRINCHEIRAS,2999,1711,2022,1
PORTO CALVO,5882,2377,2022,1
PORTO DE PEDRAS,1608,654,2022,1
PORTO REAL DO COLEGIO,2647,1352,2022,1
QUEBRANGULO,2359,1353,2022,1
RIO LARGO,19695,5687,2022,1
ROTEIRO,1106,394,2022,1
SANTA LUZIA DO NORTE,1362,423,2022,1
SANTANA DO IPANEMA,18388,9875,2022,1
SANTANA DO MUNDAU,2894,1804,2022,1
SAO BRAS,595,312,2022,1
SAO JOSE DA LAJE,4573,1944,2022,1
SAO JOSE DA TAPERA,6117,2828,2022,1
SAO LUIS DO QUITUNDE,5603,1949,2022,1
SAO MIGUEL DOS CAMPOS,17063,6421,2022,1
SAO MIGUEL DOS MILAGRES,2009,665,2022,1
SAO SEBASTIAO,9023,4361,2022,1
SATUBA,4967,1380,2022,1
SENADOR RUI PALMEIRA,2332,1321,2022,1
TANQUE D'ARCA,1520,838,2022,1
TAQUARANA,5303,2976,2022,1
TEOTONIO VILELA,9602,3934,2022,1
TRAIPU,3813,2403,2022,1
UNIAO DOS PALMARES,19695,9857,2022,1
VICOSA,6537,3474,2022,1
ALVARAES,839,537,2022,1
AMATURA,348,207,2022,1
ANAMA,223,152,2022,1
ANORI,564,346,2022,1
APUI,4574,2342,2022,1
ATALAIA DO NORTE,563,308,2022,1
AUTAZES,2386,1310,2022,1
BARCELOS,1234,684,2022,1
BARREIRINHA,740,477,2022,1
BENJAMIN CONSTANT,2003,1029,2022,1
BERURI,457,284,2022,1
BOA VISTA DO RAMOS,488,360,2022,1
BOCA DO ACRE,3783,2095,2022,1
BORBA,967,571,2022,1
CAAPIRANGA,323,155,2022,1
CANUTAMA,277,163,2022,1
CARAUARI,2942,1887,2022,1
CAREIRO,2993,1310,2022,1
CAREIRO DA VARZEA,528,129,2022,1
COARI,11276,6997,2022,1
CODAJAS,697,474,2022,1
EIRUNEPE,2156,1327,2022,1
ENVIRA,531,357,2022,1
FONTE BOA,1755,1322,2022,1
GUAJARA,444,148,2022,1
