MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ACRELANDIA,8267,4053,2025,1
ASSIS BRASIL,2402,1501,2025,1
BRASILEIA,13585,5709,2025,1
BUJARI,3168,1449,2025,1
CAPIXABA,3200,1556,2025,1
CRUZEIRO DO SUL,44389,19920,2025,1
EPITACIOLANDIA,8682,3155,2025,1
FEIJO,5554,3076,2025,1
JORDAO,243,127,2025,1
MANCIO LIMA,4827,2676,2025,1
MANOEL URBANO,1736,888,2025,1
MARECHAL THAUMATURGO,571,401,2025,1
PLACIDO DE CASTRO,6127,2809,2025,1
PORTO ACRE,5113,2796,2025,1
PORTO WALTER,571,383,2025,1
RIO BRANCO,224166,87718,2025,1
RODRIGUES ALVES,2419,1445,2025,1
SANTA ROSA DO PURUS,286,191,2025,1
SENA MADUREIRA,12102,6111,2025,1
SENADOR GUIOMARD,8798,3529,2025,1
TARAUACA,6838,3305,2025,1
XAPURI,5691,3513,2025,1
AGUA BRANCA,6054,3373,2025,1
ANADIA,3811,1544,2025,1
ARAPIRACA,145867,57319,2025,1
ATALAIA,9705,2702,2025,1
BARRA DE SANTO ANTONIO,3519,1245,2025,1
BARRA DE SAO MIGUEL,2921,862,2025,1
BATALHA,5217,2456,2025,1
BELEM,1534,877,2025,1
BELO MONTE,1101,638,2025,1
BOCA DA MATA,7219,2998,2025,1
BRANQUINHA,2059,1123,2025,1
CACIMBINHAS,2919,1569,2025,1
CAJUEIRO,4031,1820,2025,1
CAMPESTRE,858,186,2025,1
CAMPO ALEGRE,7132,2481,2025,1
CAMPO GRANDE,3279,2096,2025,1
CANAPI,4012,2176,2025,1
CAPELA,2788,1128,2025,1
CARNEIROS,1844,1060,2025,1
CHA PRETA,1768,1075,2025,1
COITE DO NOIA,3905,2364,2025,1
COLONIA LEOPOLDINA,2646,972,2025,1
COQUEIRO SECO,1524,678,2025,1
CORURIPE,18493,7532,2025,1
CRAIBAS,8785,4294,2025,1
DELMIRO GOUVEIA,28160,10800,2025,1
DOIS RIACHOS,3927,2335,2025,1
ESTRELA DE ALAGOAS,4634,2533,2025,1
FEIRA GRANDE,6854,3895,2025,1
FELIZ DESERTO,898,356,2025,1
FLEXEIRAS,2121,816,2025,1
GIRAU DO PONCIANO,13120,7158,2025,1
IBATEGUARA,3210,1589,2025,1
IGACI,7671,4077,2025,1
IGREJA NOVA,6364,3996,2025,1
INHAPI,5576,3391,2025,1
JACARE DOS HOMENS,1285,655,2025,1
JACUIPE,935,430,2025,1
JAPARATINGA,2299,894,2025,1
JARAMATAIA,1207,511,2025,1
JEQUIA DA PRAIA,1829,857,2025,1
JOAQUIM GOMES,3650,1583,2025,1
JUNDIA,886,363,2025,1
JUNQUEIRO,8154,3568,2025,1
LAGOA DA CANOA,7003,3872,2025,1
LIMOEIRO DE ANADIA,7529,3704,2025,1
MACEIO,427332,105562,2025,1
MAJOR ISIDORO,4710,2508,2025,1
MAR VERMELHO,1197,742,2025,1
MARAGOGI,6595,2072,2025,1
MARAVILHA,2942,1680,2025,1
MARECHAL DEODORO,18861,4679,2025,1
MARIBONDO,3732,1519,2025,1
MATA GRANDE,5649,3336,2025,1
MATRIZ DE CAMARAGIBE,5661,2070,2025,1
MESSIAS,3710,1436,2025,1
MINADOR DO NEGRAO,1815,1005,2025,1
MONTEIROPOLIS,1627,945,2025,1
MURICI,6588,3114,2025,1
NOVO LINO,2293,665,2025,1
OLHO D'AGUA DAS FLORES,7423,3628,2025,1
OLHO D'AGUA DO CASADO,2306,1200,2025,1
OLHO D'AGUA GRANDE,1384,888,2025,1
OLIVENCA,3058,1840,2025,1
OURO BRANCO,3832,1898,2025,1
PALESTINA,771,368,2025,1
PALMEIRA DOS INDIOS,31625,14055,2025,1
PAO DE ACUCAR,4547,2262,2025,1
PARICONHA,3001,1844,2025,1
PARIPUEIRA,3780,1153,2025,1
PASSO DE CAMARAGIBE,2836,1180,2025,1
PAULO JACINTO,1716,1031,2025,1
PENEDO,23818,9902,2025,1
PIACABUCU,3052,1152,2025,1
PILAR,11123,3229,2025,1
PINDOBA,562,348,2025,1
PIRANHAS,7521,4203,2025,1
POCO DAS TRINCHEIRAS,3684,2146,2025,1
PORTO CALVO,7672,3178,2025,1
PORTO DE PEDRAS,2201,944,2025,1
PORTO REAL DO COLEGIO,3628,1937,2025,1
QUEBRANGULO,2749,1574,2025,1
RIO LARGO,24691,7748,2025,1
ROTEIRO,1412,566,2025,1
SANTA LUZIA DO NORTE,1709,581,2025,1
SANTANA DO IPANEMA,23900,12902,2025,1
SANTANA DO MUNDAU,3583,2301,2025,1
SAO BRAS,712,386,2025,1
SAO JOSE DA LAJE,5322,2333,2025,1
SAO JOSE DA TAPERA,7063,3388,2025,1
SAO LUIS DO QUITUNDE,7047,2524,2025,1
SAO MIGUEL DOS CAMPOS,20704,8366,2025,1
SAO MIGUEL DOS MILAGRES,2800,1006,2025,1
SAO SEBASTIAO,11153,5490,2025,1
SATUBA,6878,2080,2025,1
SENADOR RUI PALMEIRA,2865,1622,2025,1
TANQUE D'ARCA,1869,1082,2025,1
TAQUARANA,7056,4089,2025,1
TEOTONIO VILELA,11867,5055,2025,1
TRAIPU,4970,3146,2025,1
UNIAO DOS PALMARES,23887,12142,2025,1
VICOSA,7783,4267,2025,1
ALVARAES,1021,650,2025,1
AMATURA,413,244,2025,1
ANAMA,298,204,2025,1
ANORI,882,567,2025,1
APUI,5898,2943,2025,1
ATALAIA DO NORTE,756,399,2025,1
AUTAZES,3295,1831,2025,1
BARCELOS,1483,842,2025,1
BARREIRINHA,1089,685,2025,1
BENJAMIN CONSTANT,2597,1278,2025,1
BERURI,757,468,2025,1
BOA VISTA DO RAMOS,838,588,2025,1
BOCA DO ACRE,4990,2791,2025,1
BORBA,1312,759,2025,1
CAAPIRANGA,430,209,2025,1
CANUTAMA,505,292,2025,1
CARAUARI,3561,2260,2025,1
CAREIRO,3906,1858,2025,1
CAREIRO DA VARZEA,649,212,2025,1
COARI,14276,8757,2025,1
CODAJAS,1111,727,2025,1
EIRUNEPE,2903,1950,2025,1
ENVIRA,646,442,2025,1
FONTE BOA,2184,1680,2025,1
GUAJARA,697,234,2025,1
HUMAITA,13581,6149,2025,1
IPIXUNA,66,21,2025,1
IRANDUBA,11547,5384,2025,1
ITACOATIARA,30759,13665,2025,1
ITAMARATI,424,313,2025,1
ITAPIRANGA,1443,661,2025,1
JAPURA,577,422,2025,1
JURUA,747,521,2025,1
JUTAI,1260,992,2025,1
LABREA,4288,2472,2025,1
MANACAPURU,24584,11573,2025,1
MANAQUIRI,1211,691,2025,1
MANAUS,955520,284561,2025,1
MANICORE,4179,1999,2025,1
MARAA,859,602,2025,1
MAUES,7346,3859,2025,1
NHAMUNDA,989,545,2025,1
NOVA OLINDA DO NORTE,1714,874,2025,1
NOVO AIRAO,2176,1030,2025,1
NOVO ARIPUANA,1306,851,2025,1
PARINTINS,26816,13563,2025,1
PAUINI,451,305,2025,1
PRESIDENTE FIGUEIREDO,9553,3626,2025,1
RIO PRETO DA EVA,6675,3210,2025,1
SANTA ISABEL DO RIO NEGRO,617,323,2025,1
SANTO ANTONIO DO ICA,1211,859,2025,1
SAO GABRIEL DA CACHOEIRA,5407,1970,2025,1
SAO PAULO DE OLIVENCA,1709,1240,2025,1
SAO SEBASTIAO DO UATUMA,506,333,2025,1
SILVES,837,385,2025,1
TABATINGA,12508,5926,2025,1
TAPAUA,930,551,2025,1
TEFE,16098,9179,2025,1
TONANTINS,654,467,2025,1
UARINI,831,648,2025,1
URUCARA,1117,656,2025,1
URUCURITUBA,933,572,2025,1
AMAPA,834,342,2025,1
CALCOENE,1152,590,2025,1
CUTIAS,213,95,2025,1
FERREIRA GOMES,762,251,2025,1
ITAUBAL,264,123,2025,1
LARANJAL DO JARI,6815,3329,2025,1
MACAPA,200040,61001,2025,1
MAZAGAO,1653,523,2025,1
OIAPOQUE,5166,2272,2025,1
PEDRA BRANCA DO AMAPARI,1019,358,2025,1
PORTO GRANDE,3096,1272,2025,1
PRACUUBA,208,76,2025,1
SANTANA,36663,12075,2025,1
SERRA DO NAVIO,618,191,2025,1
TARTARUGALZINHO,892,385,2025,1
VITORIA DO JARI,572,263,2025,1
ABAIRA,2685,821,2025,1
ABARE,3101,1718,2025,1
ACAJUTIBA,3501,1551,2025,1
ADUSTINA,2666,1878,2025,1
AGUA FRIA,2826,1300,2025,1
AIQUARA,701,299,2025,1
ALAGOINHAS,69980,20038,2025,1
ALCOBACA,5548,1966,2025,1
ALMADINA,914,288,2025,1
AMARGOSA,15164,5314,2025,1
AMELIA RODRIGUES,8257,2258,2025,1
AMERICA DOURADA,3202,1257,2025,1
ANAGE,4207,1416,2025,1
ANDARAI,2336,1012,2025,1
ANDORINHA,4239,1700,2025,1
ANGICAL,3048,1254,2025,1
ANGUERA,1906,729,2025,1
ANTAS,3327,1843,2025,1
ANTONIO CARDOSO,1990,1022,2025,1
ANTONIO GONCALVES,2328,1049,2025,1
APORA,3703,1839,2025,1
APUAREMA,1605,808,2025,1
ARACAS,2758,863,2025,1
ARACATU,3882,1348,2025,1
ARACI,11897,3945,2025,1
ARAMARI,1894,785,2025,1
ARATACA,1545,631,2025,1
ARATUIPE,1846,920,2025,1
AURELINO LEAL,1997,673,2025,1
BAIANOPOLIS,3267,1224,2025,1
BAIXA GRANDE,4533,1771,2025,1
BANZAE,2392,1176,2025,1
BARRA,9279,4449,2025,1
BARRA DA ESTIVA,10701,3235,2025,1
BARRA DO CHOCA,7954,2408,2025,1
BARRA DO MENDES,2828,734,2025,1
BARRA DO ROCHA,1004,346,2025,1
BARREIRAS,104802,29303,2025,1
BARRO ALTO,2800,975,2025,1
BARRO PRETO,892,275,2025,1
BARROCAS,6015,2420,2025,1
BELMONTE,3473,1337,2025,1
BELO CAMPO,3994,985,2025,1
BIRITINGA,3259,1414,2025,1
BOA NOVA,1944,474,2025,1
BOA VISTA DO TUPIM,3339,1439,2025,1
BOM JESUS DA LAPA,27971,14280,2025,1
BOM JESUS DA SERRA,1492,421,2025,1
BONINAL,4194,1252,2025,1
BONITO,2731,523,2025,1
BOQUIRA,5961,2908,2025,1
BOTUPORA,2899,968,2025,1
BREJOES,3083,912,2025,1
BREJOLANDIA,2448,1414,2025,1
BROTAS DE MACAUBAS,2636,706,2025,1
BRUMADO,48066,18885,2025,1
BUERAREMA,4343,1601,2025,1
BURITIRAMA,2097,746,2025,1
CAATIBA,1247,555,2025,1
CABACEIRAS DO PARAGUACU,3329,1468,2025,1
CACHOEIRA,7613,2331,2025,1
CACULE,9672,3049,2025,1
CAEM,2270,1004,2025,1
CAETANOS,1864,803,2025,1
CAETITE,22416,5630,2025,1
CAFARNAUM,4261,1672,2025,1
CAIRU,1245,415,2025,1
CALDEIRAO GRANDE,2893,1353,2025,1
CAMACAN,7630,2849,2025,1
CAMACARI,119732,30588,2025,1
CAMAMU,7899,3104,2025,1
CAMPO ALEGRE DE LOURDES,2401,1437,2025,1
CAMPO FORMOSO,22505,8964,2025,1
CANAPOLIS,2467,1456,2025,1
CANARANA,7045,2563,2025,1
CANAVIEIRAS,7397,3336,2025,1
CANDEAL,1273,613,2025,1
CANDEIAS,33110,6916,2025,1
CANDIBA,3902,1112,2025,1
CANDIDO SALES,7317,1777,2025,1
CANSANCAO,9738,3514,2025,1
CANUDOS,3854,1726,2025,1
CAPELA DO ALTO ALEGRE,3291,1493,2025,1
CAPIM GROSSO,19939,8439,2025,1
CARAIBAS,1747,438,2025,1
CARAVELAS,3894,1181,2025,1
CARDEAL DA SILVA,1675,584,2025,1
CARINHANHA,6908,3163,2025,1
CASA NOVA,18362,8638,2025,1
CASTRO ALVES,6891,2835,2025,1
CATOLANDIA,626,239,2025,1
CATU,20132,5004,2025,1
CATURAMA,2416,1021,2025,1
CENTRAL,4172,1471,2025,1
CHORROCHO,1631,710,2025,1
CICERO DANTAS,12853,6403,2025,1
CIPO,7794,4110,2025,1
