MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ASSIS BRASIL,1942,1227,2021,1
BRASILEIA,10413,4642,2021,1
BUJARI,2298,1004,2021,1
CAPIXABA,2343,1127,2021,1
CRUZEIRO DO SUL,35057,16108,2021,1
EPITACIOLANDIA,6864,2541,2021,1
FEIJO,4081,2193,2021,1
JORDAO,135,71,2021,1
MANCIO LIMA,3890,2171,2021,1
MANOEL URBANO,1238,620,2021,1
MARECHAL THAUMATURGO,378,269,2021,1
PLACIDO DE CASTRO,4985,2314,2021,1
PORTO ACRE,3944,2152,2021,1
PORTO WALTER,348,243,2021,1
RIO BRANCO,194749,74749,2021,1
RODRIGUES ALVES,1694,1025,2021,1
SANTA ROSA DO PURUS,196,126,2021,1
SENA MADUREIRA,9078,4571,2021,1
SENADOR GUIOMARD,7204,2940,2021,1
TARAUACA,5161,2488,2021,1
XAPURI,4550,2759,2021,1
AGUA BRANCA,4516,2400,2021,1
ANADIA,3002,1201,2021,1
ARAPIRACA,118327,46233,2021,1
ATALAIA,7293,1697,2021,1
BARRA DE SANTO ANTONIO,2449,862,2021,1
BARRA DE SAO MIGUEL,2065,609,2021,1
BATALHA,4106,1905,2021,1
BELEM,1229,670,2021,1
BELO MONTE,860,481,2021,1
BOCA DA MATA,5825,2265,2021,1
BRANQUINHA,1525,811,2021,1
CACIMBINHAS,2261,1186,2021,1
CAJUEIRO,3100,1349,2021,1
CAMPESTRE,708,158,2021,1
CAMPO ALEGRE,5352,1719,2021,1
CAMPO GRANDE,2583,1639,2021,1
CANAPI,2818,1489,2021,1
CAPELA,2229,865,2021,1
CARNEIROS,1295,709,2021,1
CHA PRETA,1344,792,2021,1
COITE DO NOIA,2971,1758,2021,1
COLONIA LEOPOLDINA,1937,631,2021,1
COQUEIRO SECO,1153,488,2021,1
CORURIPE,14173,5538,2021,1
CRAIBAS,6424,2986,2021,1
DELMIRO GOUVEIA,21961,8343,2021,1
DOIS RIACHOS,2922,1721,2021,1
ESTRELA DE ALAGOAS,3603,1899,2021,1
FEIRA GRANDE,5141,2793,2021,1
FELIZ DESERTO,660,265,2021,1
FLEXEIRAS,1605,562,2021,1
GIRAU DO PONCIANO,9305,4836,2021,1
IBATEGUARA,2398,1111,2021,1
IGACI,5851,2893,2021,1
IGREJA NOVA,4729,2942,2021,1
INHAPI,4424,2565,2021,1
JACARE DOS HOMENS,1030,513,2021,1
JACUIPE,667,284,2021,1
JAPARATINGA,1511,540,2021,1
JARAMATAIA,930,397,2021,1
JEQUIA DA PRAIA,1407,601,2021,1
JOAQUIM GOMES,2758,1092,2021,1
JUNDIA,653,264,2021,1
JUNQUEIRO,5951,2480,2021,1
LAGOA DA CANOA,5233,2744,2021,1
LIMOEIRO DE ANADIA,5557,2615,2021,1
MACEIO,364866,81172,2021,1
MAJOR ISIDORO,3651,1857,2021,1
MAR VERMELHO,1002,617,2021,1
MARAGOGI,4575,1258,2021,1
MARAVILHA,2246,1230,2021,1
MARECHAL DEODORO,13078,2971,2021,1
MARIBONDO,2982,1173,2021,1
MATA GRANDE,4438,2518,2021,1
MATRIZ DE CAMARAGIBE,4204,1446,2021,1
MESSIAS,2675,985,2021,1
MINADOR DO NEGRAO,1412,758,2021,1
MONTEIROPOLIS,1215,689,2021,1
MURICI,4665,2117,2021,1
NOVO LINO,1831,489,2021,1
OLHO D'AGUA DAS FLORES,5856,2769,2021,1
OLHO D'AGUA DO CASADO,1709,881,2021,1
OLHO D'AGUA GRANDE,1055,637,2021,1
OLIVENCA,2608,1490,2021,1
OURO BRANCO,2895,1437,2021,1
PALESTINA,604,259,2021,1
PALMEIRA DOS INDIOS,26104,11272,2021,1
PAO DE ACUCAR,3368,1631,2021,1
PARICONHA,2295,1353,2021,1
PARIPUEIRA,2425,672,2021,1
PASSO DE CAMARAGIBE,1904,652,2021,1
PAULO JACINTO,1400,836,2021,1
PENEDO,18478,7406,2021,1
PIACABUCU,2311,804,2021,1
PILAR,7964,2193,2021,1
PINDOBA,435,263,2021,1
PIRANHAS,5637,3027,2021,1
POCO DAS TRINCHEIRAS,2788,1616,2021,1
PORTO CALVO,5532,2250,2021,1
PORTO DE PEDRAS,1456,583,2021,1
PORTO REAL DO COLEGIO,2400,1222,2021,1
QUEBRANGULO,2232,1307,2021,1
RIO LARGO,18247,5173,2021,1
ROTEIRO,1033,359,2021,1
SANTA LUZIA DO NORTE,1279,380,2021,1
SANTANA DO IPANEMA,17216,9173,2021,1
SANTANA DO MUNDAU,2725,1681,2021,1
SAO BRAS,569,292,2021,1
SAO JOSE DA LAJE,4305,1811,2021,1
SAO JOSE DA TAPERA,5760,2654,2021,1
SAO LUIS DO QUITUNDE,5298,1818,2021,1
SAO MIGUEL DOS CAMPOS,16040,5912,2021,1
SAO MIGUEL DOS MILAGRES,1730,567,2021,1
SAO SEBASTIAO,8480,4084,2021,1
SATUBA,4333,1170,2021,1
SENADOR RUI PALMEIRA,2201,1254,2021,1
TANQUE D'ARCA,1405,784,2021,1
TAQUARANA,5006,2797,2021,1
TEOTONIO VILELA,9006,3723,2021,1
TRAIPU,3587,2266,2021,1
UNIAO DOS PALMARES,18555,9271,2021,1
VICOSA,6238,3282,2021,1
ALVARAES,756,483,2021,1
AMATURA,328,193,2021,1
ANAMA,208,143,2021,1
ANORI,524,318,2021,1
APUI,4075,2149,2021,1
ATALAIA DO NORTE,522,285,2021,1
AUTAZES,2223,1222,2021,1
BARCELOS,1141,627,2021,1
BARREIRINHA,686,435,2021,1
BENJAMIN CONSTANT,1800,939,2021,1
BERURI,431,272,2021,1
BOA VISTA DO RAMOS,461,341,2021,1
BOCA DO ACRE,3507,1969,2021,1
BORBA,932,550,2021,1
CAAPIRANGA,310,145,2021,1
CANUTAMA,258,146,2021,1
CARAUARI,2800,1809,2021,1
CAREIRO,2741,1207,2021,1
CAREIRO DA VARZEA,506,122,2021,1
COARI,10745,6680,2021,1
CODAJAS,664,452,2021,1
EIRUNEPE,2018,1217,2021,1
ENVIRA,504,334,2021,1
FONTE BOA,1667,1261,2021,1
GUAJARA,401,139,2021,1
HUMAITA,8894,3928,2021,1
IPIXUNA,37,9,2021,1
IRANDUBA,7674,3258,2021,1
ITACOATIARA,25190,11375,2021,1
ITAMARATI,304,226,2021,1
ITAPIRANGA,895,404,2021,1
JAPURA,376,268,2021,1
JURUA,520,354,2021,1
JUTAI,698,530,2021,1
LABREA,2476,1418,2021,1
MANACAPURU,18340,8962,2021,1
MANAQUIRI,817,457,2021,1
MANAUS,786419,194027,2021,1
MANICORE,2531,1244,2021,1
MARAA,594,404,2021,1
MAUES,5340,2846,2021,1
NHAMUNDA,577,328,2021,1
NOVA OLINDA DO NORTE,1242,660,2021,1
NOVO AIRAO,1521,737,2021,1
NOVO ARIPUANA,932,612,2021,1
PARINTINS,19606,9809,2021,1
PAUINI,243,156,2021,1
PRESIDENTE FIGUEIREDO,7423,2735,2021,1
RIO PRETO DA EVA,4906,2351,2021,1
SANTA ISABEL DO RIO NEGRO,430,226,2021,1
SANTO ANTONIO DO ICA,926,653,2021,1
SAO GABRIEL DA CACHOEIRA,4114,1252,2021,1
SAO PAULO DE OLIVENCA,1275,935,2021,1
SAO SEBASTIAO DO UATUMA,315,217,2021,1
SILVES,489,225,2021,1
TABATINGA,10201,5062,2021,1
TAPAUA,591,347,2021,1
TEFE,12644,7264,2021,1
TONANTINS,514,364,2021,1
UARINI,587,460,2021,1
