MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
JAPURA,468,341,2023,1
JURUA,624,428,2023,1
JUTAI,957,748,2023,1
LABREA,3065,1750,2023,1
MANACAPURU,21160,10217,2023,1
MANAQUIRI,1000,574,2023,1
MANAUS,859638,230833,2023,1
MANICORE,3283,1562,2023,1
MARAA,682,472,2023,1
MAUES,6059,3242,2023,1
NHAMUNDA,743,414,2023,1
NOVA OLINDA DO NORTE,1421,743,2023,1
NOVO AIRAO,1787,855,2023,1
NOVO ARIPUANA,1100,727,2023,1
PARINTINS,22971,11575,2023,1
PAUINI,328,216,2023,1
PRESIDENTE FIGUEIREDO,8318,3086,2023,1
RIO PRETO DA EVA,5637,2752,2023,1
SANTA ISABEL DO RIO NEGRO,494,262,2023,1
SANTO ANTONIO DO ICA,1064,767,2023,1
SAO GABRIEL DA CACHOEIRA,4787,1650,2023,1
SAO PAULO DE OLIVENCA,1480,1078,2023,1
SAO SEBASTIAO DO UATUMA,380,265,2023,1
SILVES,622,286,2023,1
TABATINGA,11390,5551,2023,1
TAPAUA,672,384,2023,1
TEFE,14222,8136,2023,1
TONANTINS,563,401,2023,1
UARINI,698,540,2023,1
URUCARA,942,551,2023,1
URUCURITUBA,767,472,2023,1
AMAPA,756,319,2023,1
CALCOENE,976,520,2023,1
CUTIAS,204,91,2023,1
FERREIRA GOMES,671,221,2023,1
ITAUBAL,214,109,2023,1
LARANJAL DO JARI,6128,2990,2023,1
MACAPA,180134,55164,2023,1
MAZAGAO,1424,443,2023,1
OIAPOQUE,4415,1981,2023,1
PEDRA BRANCA DO AMAPARI,924,318,2023,1
PORTO GRANDE,2728,1132,2023,1
PRACUUBA,171,68,2023,1
SANTANA,32907,11031,2023,1
SERRA DO NAVIO,577,171,2023,1
TARTARUGALZINHO,741,328,2023,1
VITORIA DO JARI,493,218,2023,1
ABAIRA,2438,763,2023,1
ABARE,2889,1609,2023,1
ACAJUTIBA,3096,1362,2023,1
ADUSTINA,2238,1548,2023,1
AGUA FRIA,2573,1211,2023,1
AIQUARA,645,283,2023,1
ALAGOINHAS,64137,18172,2023,1
ALCOBACA,4877,1807,2023,1
ALMADINA,838,252,2023,1
AMARGOSA,13748,4681,2023,1
AMELIA RODRIGUES,7447,2009,2023,1
AMERICA DOURADA,2826,1116,2023,1
ANAGE,3625,1225,2023,1
ANDARAI,2020,849,2023,1
ANDORINHA,3784,1528,2023,1
ANGICAL,2751,1133,2023,1
ANGUERA,1821,653,2023,1
ANTAS,2853,1548,2023,1
ANTONIO CARDOSO,1775,897,2023,1
ANTONIO GONCALVES,2029,915,2023,1
APORA,3344,1689,2023,1
APUAREMA,1393,684,2023,1
ARACAS,2492,757,2023,1
ARACATU,3405,1183,2023,1
ARACI,10327,3469,2023,1
ARAMARI,1659,657,2023,1
ARATACA,1274,519,2023,1
ARATUIPE,1607,792,2023,1
AURELINO LEAL,1744,596,2023,1
BAIANOPOLIS,2961,1127,2023,1
BAIXA GRANDE,4092,1628,2023,1
BANZAE,2133,1069,2023,1
BARRA,8194,3912,2023,1
BARRA DA ESTIVA,9251,2894,2023,1
BARRA DO CHOCA,6741,1981,2023,1
BARRA DO MENDES,2586,657,2023,1
BARRA DO ROCHA,859,318,2023,1
BARREIRAS,95048,27176,2023,1
BARRO ALTO,2585,888,2023,1
BARRO PRETO,778,243,2023,1
BARROCAS,5430,2197,2023,1
BELMONTE,3102,1185,2023,1
BELO CAMPO,3447,822,2023,1
BIRITINGA,2872,1269,2023,1
BOA NOVA,1721,418,2023,1
BOA VISTA DO TUPIM,3066,1344,2023,1
BOM JESUS DA LAPA,25951,13626,2023,1
BOM JESUS DA SERRA,1317,387,2023,1
BONINAL,3678,1097,2023,1
BONITO,2488,481,2023,1
BOQUIRA,5452,2673,2023,1
BOTUPORA,2679,911,2023,1
BREJOES,2909,840,2023,1
BREJOLANDIA,2298,1353,2023,1
BROTAS DE MACAUBAS,2354,659,2023,1
BRUMADO,44370,17432,2023,1
BUERAREMA,3976,1480,2023,1
BURITIRAMA,1851,674,2023,1
CAATIBA,1135,515,2023,1
CABACEIRAS DO PARAGUACU,2961,1318,2023,1
CACHOEIRA,6402,2025,2023,1
CACULE,9049,2905,2023,1
CAEM,2070,937,2023,1
CAETANOS,1637,686,2023,1
CAETITE,20017,4985,2023,1
CAFARNAUM,3840,1527,2023,1
CAIRU,1098,367,2023,1
CALDEIRAO GRANDE,2582,1205,2023,1
CAMACAN,6832,2552,2023,1
CAMACARI,108306,26594,2023,1
CAMAMU,6912,2715,2023,1
CAMPO ALEGRE DE LOURDES,2230,1390,2023,1
CAMPO FORMOSO,20021,7889,2023,1
CANAPOLIS,2192,1326,2023,1
CANARANA,6389,2329,2023,1
CANAVIEIRAS,6551,2940,2023,1
CANDEAL,1184,579,2023,1
CANDEIAS,29653,6146,2023,1
CANDIBA,3510,1007,2023,1
CANDIDO SALES,6400,1601,2023,1
CANSANCAO,8622,3034,2023,1
CANUDOS,3228,1372,2023,1
CAPELA DO ALTO ALEGRE,3023,1406,2023,1
CAPIM GROSSO,17411,7243,2023,1
CARAIBAS,1535,390,2023,1
CARAVELAS,3594,1121,2023,1
CARDEAL DA SILVA,1496,523,2023,1
CARINHANHA,6303,3019,2023,1
CASA NOVA,16352,7852,2023,1
CASTRO ALVES,6346,2649,2023,1
CATOLANDIA,570,217,2023,1
CATU,18388,4722,2023,1
CATURAMA,2178,924,2023,1
CENTRAL,3802,1343,2023,1
CHORROCHO,1445,637,2023,1
CICERO DANTAS,10874,5296,2023,1
CIPO,6387,3251,2023,1
COARACI,4434,1405,2023,1
COCOS,5582,2596,2023,1
CONCEICAO DA FEIRA,5745,2397,2023,1
CONCEICAO DO ALMEIDA,4054,1574,2023,1
CONCEICAO DO COITE,27676,9352,2023,1
CONCEICAO DO JACUIPE,13880,4958,2023,1
CONDE,4109,1924,2023,1
CONDEUBA,4103,1238,2023,1
CONTENDAS DO SINCORA,1015,437,2023,1
CORACAO DE MARIA,6932,2976,2023,1
CORDEIROS,1847,584,2023,1
CORIBE,3612,1625,2023,1
CORONEL JOAO SA,2484,1944,2023,1
CORRENTINA,10985,5397,2023,1
COTEGIPE,2521,1016,2023,1
CRAVOLANDIA,764,309,2023,1
CRISOPOLIS,4371,2363,2023,1
CRISTOPOLIS,3167,1013,2023,1
CRUZ DAS ALMAS,34261,14072,2023,1
CURACA,4546,2229,2023,1
DARIO MEIRA,1462,550,2023,1
DIAS D'AVILA,25348,5223,2023,1
DOM BASILIO,5163,2602,2023,1
